population,n_responders,n_non_responders,mean_percentage_responders,mean_percentage_non_responders,median_percentage_responders,median_percentage_non_responders,mann_whitney_u,p_value,significant_p_lt_0_05
cd4_t_cell,993,975,30.537808,29.902262,30.220564,29.657607,515276.0,0.013344218813937624,True
b_cell,993,975,9.797553,9.99632,9.432278,9.788395,459971.0,0.055702309738266245,False
nk_cell,993,975,14.840944,15.073166,14.509282,14.799143,464546.0,0.12105079805790867,False
monocyte,993,975,19.941763,20.084328,19.609698,19.942333,466510.0,0.16315013268752876,False
cd8_t_cell,993,975,24.881932,24.943924,24.728022,24.603067,478176.0,0.6390858847346418,False
